Start Date,End Date,Employee,Client Name
2023-09-06 17:32:00,2023-09-06 18:25:00,Wojtek,Stellar Solutions
2023-09-06 18:25:00,2023-09-06 19:47:00,Krzysiek,Stellar Solutions
2023-09-06 19:47:00,2023-09-06 20:09:00,Wojtek,Visionary Ventures
2023-09-06 20:09:00,2023-09-06 21:53:00,Kinga,Stellar Solutions
2023-09-06 21:53:00,2023-09-06 22:57:00,Krzysiek,ABC Company
2023-09-06 22:57:00,2023-09-06 23:16:00,Wojtek,Visionary Ventures
2023-09-06 23:16:00,2023-09-07 00:12:00,Adam,Stellar Solutions
2023-09-07 00:12:00,2023-09-07 01:45:00,Adam,Stellar Solutions
2023-09-07 01:45:00,2023-09-07 03:43:00,Adam,Acme Inc.
2023-09-07 03:43:00,2023-09-07 04:26:00,Kinga,Stellar Solutions
2023-09-07 04:26:00,2023-09-07 04:46:00,Adam,Visionary Ventures
2023-09-07 04:46:00,2023-09-07 06:46:00,Krzysiek,XYZ Corporation
2023-09-07 06:46:00,2023-09-07 07:41:00,Kinga,XYZ Corporation
2023-09-07 07:41:00,2023-09-07 08:22:00,Wojtek,Visionary Ventures
2023-09-07 08:22:00,2023-09-07 10:09:00,Adam,Stellar Solutions
2023-09-07 10:09:00,2023-09-07 10:45:00,Wojtek,Acme Inc.
2023-09-07 10:45:00,2023-09-07 11:55:00,Kinga,ABC Company
2023-09-07 11:55:00,2023-09-07 12:44:00,Wojtek,Visionary Ventures
2023-09-07 12:44:00,2023-09-07 13:11:00,Kinga,Acme Inc.
2023-09-07 13:11:00,2023-09-07 13:27:00,Kinga,XYZ Corporation
2023-09-07 13:27:00,2023-09-07 14:48:00,Kinga,ABC Company
2023-09-07 14:48:00,2023-09-07 16:41:00,Kinga,XYZ Corporation
2023-09-07 16:41:00,2023-09-07 18:40:00,Adam,Acme Inc.
2023-09-07 18:40:00,2023-09-07 19:36:00,Adam,Acme Inc.
2023-09-07 19:36:00,2023-09-07 20:40:00,Adam,ABC Company
2023-09-07 20:40:00,2023-09-07 21:12:00,Krzysiek,Visionary Ventures
2023-09-07 21:12:00,2023-09-07 22:16:00,Adam,Stellar Solutions
2023-09-07 22:16:00,2023-09-07 23:12:00,Kinga,Acme Inc.
2023-09-07 23:12:00,2023-09-08 00:27:00,Adam,ABC Company
2023-09-08 00:27:00,2023-09-08 01:53:00,Wojtek,XYZ Corporation
2023-09-08 01:53:00,2023-09-08 02:32:00,Kinga,Visionary Ventures
2023-09-08 02:32:00,2023-09-08 02:48:00,Wojtek,XYZ Corporation
2023-09-08 02:48:00,2023-09-08 03:08:00,Kinga,Acme Inc.
2023-09-08 03:08:00,2023-09-08 04:37:00,Krzysiek,Stellar Solutions
2023-09-08 04:37:00,2023-09-08 04:53:00,Wojtek,XYZ Corporation
2023-09-08 04:53:00,2023-09-08 05:58:00,Adam,XYZ Corporation
2023-09-08 05:58:00,2023-09-08 07:28:00,Kinga,XYZ Corporation
2023-09-08 07:28:00,2023-09-08 09:19:00,Krzysiek,Stellar Solutions
2023-09-08 09:19:00,2023-09-08 10:31:00,Wojtek,ABC Company
2023-09-08 10:31:00,2023-09-08 11:05:00,Krzysiek,Acme Inc.
2023-09-08 11:05:00,2023-09-08 11:56:00,Adam,XYZ Corporation
2023-09-08 11:56:00,2023-09-08 13:35:00,Kinga,Stellar Solutions
2023-09-08 13:35:00,2023-09-08 14:31:00,Kinga,Acme Inc.
2023-09-08 14:31:00,2023-09-08 15:02:00,Wojtek,Visionary Ventures
2023-09-08 15:02:00,2023-09-08 15:56:00,Krzysiek,Acme Inc.
2023-09-08 15:56:00,2023-09-08 17:52:00,Wojtek,Visionary Ventures
2023-09-08 17:52:00,2023-09-08 18:07:00,Krzysiek,Visionary Ventures
2023-09-08 18:07:00,2023-09-08 19:48:00,Wojtek,XYZ Corporation
2023-09-08 19:48:00,2023-09-08 21:03:00,Adam,Stellar Solutions
2023-09-08 21:03:00,2023-09-08 21:47:00,Wojtek,Acme Inc.
2023-09-08 21:47:00,2023-09-08 23:37:00,Kinga,Stellar Solutions
2023-09-08 23:37:00,2023-09-09 00:11:00,Wojtek,ABC Company
2023-09-09 00:11:00,2023-09-09 01:26:00,Wojtek,ABC Company
2023-09-09 01:26:00,2023-09-09 03:11:00,Wojtek,Visionary Ventures
2023-09-09 03:11:00,2023-09-09 04:22:00,Krzysiek,Stellar Solutions
2023-09-09 04:22:00,2023-09-09 06:02:00,Adam,ABC Company
2023-09-09 06:02:00,2023-09-09 07:19:00,Wojtek,Visionary Ventures
2023-09-09 07:19:00,2023-09-09 07:40:00,Adam,XYZ Corporation
2023-09-09 07:40:00,2023-09-09 08:59:00,Kinga,Acme Inc.
2023-09-09 08:59:00,2023-09-09 09:41:00,Kinga,ABC Company
2023-09-09 09:41:00,2023-09-09 10:25:00,Adam,Stellar Solutions
2023-09-09 10:25:00,2023-09-09 11:22:00,Krzysiek,Acme Inc.
2023-09-09 11:22:00,2023-09-09 12:16:00,Adam,XYZ Corporation
2023-09-09 12:16:00,2023-09-09 13:00:00,Krzysiek,XYZ Corporation
2023-09-09 13:00:00,2023-09-09 13:44:00,Kinga,ABC Company
2023-09-09 13:44:00,2023-09-09 14:23:00,Adam,Acme Inc.
2023-09-09 14:23:00,2023-09-09 15:51:00,Wojtek,XYZ Corporation
2023-09-09 15:51:00,2023-09-09 17:19:00,Adam,ABC Company
2023-09-09 17:19:00,2023-09-09 17:50:00,Krzysiek,XYZ Corporation
2023-09-09 17:50:00,2023-09-09 19:13:00,Adam,Acme Inc.
2023-09-09 19:13:00,2023-09-09 20:30:00,Adam,Visionary Ventures
2023-09-09 20:30:00,2023-09-09 21:34:00,Wojtek,XYZ Corporation
2023-09-09 21:34:00,2023-09-09 22:05:00,Adam,Stellar Solutions
2023-09-09 22:05:00,2023-09-09 22:26:00,Wojtek,Visionary Ventures
2023-09-09 22:26:00,2023-09-10 00:21:00,Wojtek,XYZ Corporation
2023-09-10 00:21:00,2023-09-10 00:59:00,Wojtek,XYZ Corporation
2023-09-10 00:59:00,2023-09-10 02:36:00,Wojtek,ABC Company
2023-09-10 02:36:00,2023-09-10 03:28:00,Krzysiek,Acme Inc.
2023-09-10 03:28:00,2023-09-10 05:14:00,Krzysiek,Visionary Ventures
2023-09-10 05:14:00,2023-09-10 06:49:00,Wojtek,XYZ Corporation
2023-09-10 06:49:00,2023-09-10 07:08:00,Adam,XYZ Corporation
2023-09-10 07:08:00,2023-09-10 08:23:00,Kinga,Stellar Solutions
2023-09-10 08:23:00,2023-09-10 09:45:00,Krzysiek,Stellar Solutions
2023-09-10 09:45:00,2023-09-10 11:20:00,Kinga,Stellar Solutions
2023-09-10 11:20:00,2023-09-10 11:50:00,Kinga,Visionary Ventures
2023-09-10 11:50:00,2023-09-10 12:34:00,Kinga,Stellar Solutions
2023-09-10 12:34:00,2023-09-10 13:11:00,Adam,Stellar Solutions
2023-09-10 13:11:00,2023-09-10 13:36:00,Adam,ABC Company
2023-09-10 13:36:00,2023-09-10 14:53:00,Krzysiek,ABC Company
2023-09-10 14:53:00,2023-09-10 15:40:00,Adam,Stellar Solutions
2023-09-10 15:40:00,2023-09-10 16:04:00,Wojtek,XYZ Corporation
2023-09-10 16:04:00,2023-09-10 17:21:00,Wojtek,Acme Inc.
2023-09-10 17:21:00,2023-09-10 18:50:00,Kinga,Visionary Ventures
2023-09-10 18:50:00,2023-09-10 20:25:00,Wojtek,Acme Inc.
2023-09-10 20:25:00,2023-09-10 20:55:00,Adam,XYZ Corporation
2023-09-10 20:55:00,2023-09-10 21:41:00,Wojtek,XYZ Corporation
2023-09-10 21:41:00,2023-09-10 21:58:00,Wojtek,ABC Company
2023-09-10 21:58:00,2023-09-10 23:48:00,Wojtek,Acme Inc.
2023-09-10 23:48:00,2023-09-11 00:54:00,Adam,Stellar Solutions
2023-09-11 00:54:00,2023-09-11 02:47:00,Kinga,ABC Company
2023-09-11 02:47:00,2023-09-11 04:25:00,Kinga,Acme Inc.
2023-09-11 04:25:00,2023-09-11 05:55:00,Kinga,Acme Inc.
2023-09-11 05:55:00,2023-09-11 06:16:00,Adam,Acme Inc.
2023-09-11 06:16:00,2023-09-11 07:47:00,Wojtek,ABC Company
2023-09-11 07:47:00,2023-09-11 08:40:00,Krzysiek,Acme Inc.
2023-09-11 08:40:00,2023-09-11 10:13:00,Kinga,Visionary Ventures
2023-09-11 10:13:00,2023-09-11 12:01:00,Wojtek,Visionary Ventures
2023-09-11 12:01:00,2023-09-11 12:49:00,Kinga,ABC Company
2023-09-11 12:49:00,2023-09-11 13:19:00,Krzysiek,XYZ Corporation
2023-09-11 13:19:00,2023-09-11 14:29:00,Adam,Stellar Solutions
2023-09-11 14:29:00,2023-09-11 15:49:00,Kinga,ABC Company
2023-09-11 15:49:00,2023-09-11 17:39:00,Kinga,Acme Inc.
2023-09-11 17:39:00,2023-09-11 18:40:00,Wojtek,Acme Inc.
2023-09-11 18:40:00,2023-09-11 20:17:00,Krzysiek,XYZ Corporation
2023-09-11 20:17:00,2023-09-11 21:00:00,Adam,Acme Inc.
2023-09-11 21:00:00,2023-09-11 21:31:00,Wojtek,XYZ Corporation
2023-09-11 21:31:00,2023-09-11 22:17:00,Adam,Stellar Solutions
2023-09-11 22:17:00,2023-09-11 23:22:00,Adam,Stellar Solutions
2023-09-11 23:22:00,2023-09-12 00:47:00,Kinga,ABC Company
2023-09-12 00:47:00,2023-09-12 02:42:00,Wojtek,Stellar Solutions
2023-09-12 02:42:00,2023-09-12 03:07:00,Adam,Stellar Solutions
2023-09-12 03:07:00,2023-09-12 03:49:00,Wojtek,XYZ Corporation
2023-09-12 03:49:00,2023-09-12 05:22:00,Adam,XYZ Corporation
2023-09-12 05:22:00,2023-09-12 06:51:00,Kinga,XYZ Corporation
2023-09-12 06:51:00,2023-09-12 07:42:00,Wojtek,Stellar Solutions
2023-09-12 07:42:00,2023-09-12 08:54:00,Krzysiek,ABC Company
2023-09-12 08:54:00,2023-09-12 10:30:00,Kinga,Stellar Solutions
2023-09-12 10:30:00,2023-09-12 11:46:00,Krzysiek,Acme Inc.
2023-09-12 11:46:00,2023-09-12 12:43:00,Adam,Acme Inc.
2023-09-12 12:43:00,2023-09-12 14:08:00,Adam,Visionary Ventures
2023-09-12 14:08:00,2023-09-12 15:20:00,Krzysiek,XYZ Corporation
2023-09-12 15:20:00,2023-09-12 16:41:00,Adam,Visionary Ventures
2023-09-12 16:41:00,2023-09-12 17:36:00,Wojtek,XYZ Corporation
2023-09-12 17:36:00,2023-09-12 18:32:00,Wojtek,Stellar Solutions
2023-09-12 18:32:00,2023-09-12 19:19:00,Adam,Acme Inc.
2023-09-12 19:19:00,2023-09-12 20:21:00,Kinga,ABC Company
2023-09-12 20:21:00,2023-09-12 20:57:00,Wojtek,ABC Company
2023-09-12 20:57:00,2023-09-12 21:23:00,Adam,Visionary Ventures
2023-09-12 21:23:00,2023-09-12 22:34:00,Wojtek,Stellar Solutions
2023-09-12 22:34:00,2023-09-12 23:51:00,Krzysiek,Acme Inc.
2023-09-12 23:51:00,2023-09-13 00:32:00,Krzysiek,XYZ Corporation
2023-09-13 00:32:00,2023-09-13 01:42:00,Krzysiek,Visionary Ventures
2023-09-13 01:42:00,2023-09-13 03:28:00,Krzysiek,Stellar Solutions
2023-09-13 03:28:00,2023-09-13 04:22:00,Adam,Visionary Ventures
2023-09-13 04:22:00,2023-09-13 04:52:00,Krzysiek,Stellar Solutions
2023-09-13 04:52:00,2023-09-13 05:44:00,Krzysiek,Stellar Solutions
2023-09-13 05:44:00,2023-09-13 07:06:00,Adam,Visionary Ventures
2023-09-13 07:06:00,2023-09-13 08:05:00,Kinga,Visionary Ventures
2023-09-13 08:05:00,2023-09-13 09:59:00,Krzysiek,Stellar Solutions
2023-09-13 09:59:00,2023-09-13 11:58:00,Wojtek,XYZ Corporation
2023-09-13 11:58:00,2023-09-13 13:43:00,Adam,Stellar Solutions
2023-09-13 13:43:00,2023-09-13 14:45:00,Krzysiek,Stellar Solutions
2023-09-13 14:45:00,2023-09-13 16:24:00,Krzysiek,ABC Company
2023-09-13 16:24:00,2023-09-13 17:33:00,Krzysiek,Visionary Ventures
2023-09-13 17:33:00,2023-09-13 18:54:00,Kinga,XYZ Corporation
2023-09-13 18:54:00,2023-09-13 20:25:00,Wojtek,Stellar Solutions
2023-09-13 20:25:00,2023-09-13 21:05:00,Wojtek,ABC Company
2023-09-13 21:05:00,2023-09-13 23:01:00,Kinga,XYZ Corporation
2023-09-13 23:01:00,2023-09-14 00:09:00,Wojtek,XYZ Corporation
2023-09-14 00:09:00,2023-09-14 00:36:00,Krzysiek,Stellar Solutions
2023-09-14 00:36:00,2023-09-14 01:58:00,Krzysiek,Visionary Ventures
2023-09-14 01:58:00,2023-09-14 03:15:00,Krzysiek,ABC Company
2023-09-14 03:15:00,2023-09-14 04:33:00,Krzysiek,Visionary Ventures
2023-09-14 04:33:00,2023-09-14 06:22:00,Krzysiek,XYZ Corporation
2023-09-14 06:22:00,2023-09-14 06:57:00,Adam,ABC Company
2023-09-14 06:57:00,2023-09-14 08:49:00,Kinga,ABC Company
2023-09-14 08:49:00,2023-09-14 09:20:00,Wojtek,Stellar Solutions
2023-09-14 09:20:00,2023-09-14 10:15:00,Wojtek,XYZ Corporation
2023-09-14 10:15:00,2023-09-14 12:01:00,Krzysiek,XYZ Corporation
2023-09-14 12:01:00,2023-09-14 13:15:00,Krzysiek,Visionary Ventures
2023-09-14 13:15:00,2023-09-14 14:32:00,Wojtek,XYZ Corporation
2023-09-14 14:32:00,2023-09-14 15:39:00,Adam,XYZ Corporation
2023-09-14 15:39:00,2023-09-14 16:38:00,Krzysiek,ABC Company
2023-09-14 16:38:00,2023-09-14 18:01:00,Kinga,ABC Company
2023-09-14 18:01:00,2023-09-14 19:12:00,Kinga,Stellar Solutions
2023-09-14 19:12:00,2023-09-14 19:31:00,Krzysiek,XYZ Corporation
2023-09-14 19:31:00,2023-09-14 20:37:00,Wojtek,ABC Company
2023-09-14 20:37:00,2023-09-14 21:01:00,Wojtek,Acme Inc.
2023-09-14 21:01:00,2023-09-14 22:25:00,Wojtek,Stellar Solutions
2023-09-14 22:25:00,2023-09-14 23:08:00,Adam,Stellar Solutions
2023-09-14 23:08:00,2023-09-15 01:06:00,Kinga,ABC Company
2023-09-15 01:06:00,2023-09-15 02:41:00,Krzysiek,Visionary Ventures
2023-09-15 02:41:00,2023-09-15 03:59:00,Krzysiek,Stellar Solutions
2023-09-15 03:59:00,2023-09-15 05:28:00,Krzysiek,Stellar Solutions
2023-09-15 05:28:00,2023-09-15 05:57:00,Wojtek,Stellar Solutions
2023-09-15 05:57:00,2023-09-15 06:57:00,Wojtek,Acme Inc.
2023-09-15 06:57:00,2023-09-15 08:50:00,Kinga,Stellar Solutions
2023-09-15 08:50:00,2023-09-15 09:28:00,Wojtek,Acme Inc.
2023-09-15 09:28:00,2023-09-15 10:13:00,Krzysiek,XYZ Corporation
2023-09-15 10:13:00,2023-09-15 10:41:00,Wojtek,Stellar Solutions
2023-09-15 10:41:00,2023-09-15 12:13:00,Wojtek,ABC Company
2023-09-15 12:13:00,2023-09-15 13:24:00,Adam,Acme Inc.
2023-09-15 13:24:00,2023-09-15 13:59:00,Wojtek,Visionary Ventures
2023-09-15 13:59:00,2023-09-15 15:24:00,Adam,XYZ Corporation
2023-09-15 15:24:00,2023-09-15 17:03:00,Krzysiek,Acme Inc.
2023-09-15 17:03:00,2023-09-15 19:02:00,Adam,Visionary Ventures
2023-09-15 19:02:00,2023-09-15 19:22:00,Adam,Visionary Ventures
2023-09-15 19:22:00,2023-09-15 20:47:00,Krzysiek,Acme Inc.
2023-09-15 20:47:00,2023-09-15 21:53:00,Krzysiek,ABC Company
2023-09-15 21:53:00,2023-09-15 22:24:00,Wojtek,XYZ Corporation
2023-09-15 22:24:00,2023-09-15 23:10:00,Wojtek,ABC Company
2023-09-15 23:10:00,2023-09-15 23:46:00,Wojtek,Visionary Ventures
2023-09-15 23:46:00,2023-09-16 00:42:00,Wojtek,XYZ Corporation
2023-09-16 00:42:00,2023-09-16 01:39:00,Kinga,ABC Company
2023-09-16 01:39:00,2023-09-16 01:56:00,Wojtek,Visionary Ventures
2023-09-16 01:56:00,2023-09-16 03:43:00,Adam,Acme Inc.
2023-09-16 03:43:00,2023-09-16 04:09:00,Krzysiek,XYZ Corporation
2023-09-16 04:09:00,2023-09-16 05:21:00,Wojtek,Visionary Ventures
2023-09-16 05:21:00,2023-09-16 06:47:00,Adam,Stellar Solutions
2023-09-16 06:47:00,2023-09-16 07:23:00,Wojtek,XYZ Corporation
2023-09-16 07:23:00,2023-09-16 07:47:00,Wojtek,Stellar Solutions
2023-09-16 07:47:00,2023-09-16 08:47:00,Adam,Stellar Solutions
2023-09-16 08:47:00,2023-09-16 09:25:00,Adam,Visionary Ventures
2023-09-16 09:25:00,2023-09-16 10:52:00,Wojtek,XYZ Corporation
2023-09-16 10:52:00,2023-09-16 12:29:00,Wojtek,Stellar Solutions
2023-09-16 12:29:00,2023-09-16 14:15:00,Kinga,Acme Inc.
2023-09-16 14:15:00,2023-09-16 15:51:00,Wojtek,Acme Inc.
2023-09-16 15:51:00,2023-09-16 17:39:00,Krzysiek,Stellar Solutions
2023-09-16 17:39:00,2023-09-16 19:09:00,Krzysiek,Stellar Solutions
2023-09-16 19:09:00,2023-09-16 20:55:00,Kinga,Acme Inc.
2023-09-16 20:55:00,2023-09-16 22:26:00,Kinga,Stellar Solutions
2023-09-16 22:26:00,2023-09-16 23:47:00,Kinga,Stellar Solutions
2023-09-16 23:47:00,2023-09-17 00:03:00,Adam,Visionary Ventures
2023-09-17 00:03:00,2023-09-17 00:56:00,Krzysiek,XYZ Corporation
2023-09-17 00:56:00,2023-09-17 02:36:00,Adam,Visionary Ventures
2023-09-17 02:36:00,2023-09-17 03:30:00,Wojtek,ABC Company
2023-09-17 03:30:00,2023-09-17 03:46:00,Adam,Visionary Ventures
2023-09-17 03:46:00,2023-09-17 05:10:00,Kinga,XYZ Corporation
2023-09-17 05:10:00,2023-09-17 06:28:00,Krzysiek,Stellar Solutions
2023-09-17 06:28:00,2023-09-17 06:45:00,Kinga,ABC Company
2023-09-17 06:45:00,2023-09-17 07:15:00,Kinga,Stellar Solutions
2023-09-17 07:15:00,2023-09-17 08:16:00,Kinga,Stellar Solutions
2023-09-17 08:16:00,2023-09-17 08:54:00,Adam,Stellar Solutions
2023-09-17 08:54:00,2023-09-17 10:20:00,Kinga,ABC Company
2023-09-17 10:20:00,2023-09-17 12:08:00,Kinga,Visionary Ventures
2023-09-17 12:08:00,2023-09-17 14:07:00,Krzysiek,ABC Company
2023-09-17 14:07:00,2023-09-17 14:48:00,Wojtek,Acme Inc.
2023-09-17 14:48:00,2023-09-17 16:34:00,Adam,XYZ Corporation
2023-09-17 16:34:00,2023-09-17 17:32:00,Kinga,ABC Company
2023-09-17 17:32:00,2023-09-17 18:53:00,Wojtek,ABC Company
2023-09-17 18:53:00,2023-09-17 20:19:00,Kinga,XYZ Corporation
2023-09-17 20:19:00,2023-09-17 21:52:00,Wojtek,Stellar Solutions
